INLINE NewPromotionBranchTable,Class Selection 1,Class Selection 2
Ephraim Lord,0x3,0x0
Eirika Lord,0x4,0x0
Ephraim Master Lord,0x0,0x0
Eirika Master Lord,0x0,0x0
Cavalier,0x7,0x35
Cavalier (F),0x8,0x36
Paladin,0x0,0x0
Paladin (F),0x0,0x0
Armour Knight,0xb,0x35
Armour Knight (F),0xc,0x36
General,0x0,0x0
General (F),0x0,0x0
Thief,0x17,Butler
Manakete,0x0,0x0
Mercenary,0x11,0x1d
Mercenary (F),0x12,0x1e
Hero,0x0,0x0
Hero (F),0x0,0x0
Myrmidon,DreadFighter,0x15
Myrmidon (F),DreadFighter_F,0x16
Swordmaster,0x0,0x0
Swordmaster (F),0x0,0x0
Assassin,0x0,0x0
Assassin (F),0x0,0x0
Archer,0x1b,Ballistician
Archer (F),0x1c,Ballistician
Sniper,0x0,0x0
Sniper (F),0x0,0x0
Ranger,0x0,0x0
Ranger (F),0x0,0x0
Wyvern Rider,0x21,0x23
Wyvern Rider (F),0x22,0x24
Wyvern Lord,0x0,0x0
Wyvern Lord (F),0x0,0x0
Wyvern Knight,0x0,0x0
Wyvern Knight (F),0x0,0x0
Mage,0x27,0x29
Mage (F),0x28,Witch
Sage,0x0,0x0
Sage (F),0x0,0x0
Mage Knight,0x0,0x0
Mage Knight (F),0x0,0x0
Bishop,0x0,0x0
Bishop (F),0x0,0x0
Shaman,0x2f,0x31
Shaman (F),Druid_F,Witch
Druid,0x0,0x0
Druid (F),0x0,0x0
Summoner,0x0,0x0
Summoner (F),0x0,0x0
Rogue,0x0,0x0
Gorgon Egg,0x61,0x0
Great Knight,0x0,0x0
Great Knight (F),0x0,0x0
Recruit (2),0x8,0x3a
Journeyman (3),0x0,0x0
Pupil (3),0x0,0x0
Recruit (3),0x0,0x0
Manakete,0x0,0x0
Manakete (F),0x0,0x0
Journeyman (1),0x3f,0x42
Pupil (1),0x25,0x2d
Fighter,0x11,0x40
Warrior,0x0,0x0
Brigand,0x40,0x43
Pirate,0x40,0x43
Berserker,0x0,0x0
Monk,0x2b,0x27
Priest,SwordSaint,WarMonk
Bard,0x0,0x0
Recruit (1),0xa,0x6
Pegasus Knight,0x49,DarkFlier
Falcon Knight,0x0,0x0
Cleric,Bishop_F,Maid
Troubadour,0x4c,0x2a
Valkyrie,0x0,0x0
Dancer,0x0,0x0
Soldier,Halberdier,General
Necromancer,0x0,0x0
Fleet,0x0,0x0
Phantom,0x0,0x0
Revenant,0x53,0x0
Entombed,0x0,0x0
Bonewalker,0x56,0x0
Bonewalker (Bow),0x57,0x0
Wight,0x0,0x0
Wight (Bow),0x0,0x0
Bael,0x59,0x0
Elder Bael,0x0,0x0
Cyclops,0x0,0x0
Mauthe Doog,0x5c,0x0
Gwyllgi,0x0,0x0
Tarvos,0x5e,0x0
Maelduin,0x0,0x0
Mogall,0x60,0x0
Arch Mogall,0x0,0x0
Gorgon,0x0,0x0
Gorgon Egg,0x61,0x0
Gargoyle,0x64,0x0
Deathgoyle,0x0,0x0
Dracozombie,0x0,0x0
Demon King,0x0,0x0
Archer on Ballista,0x0,0x0
Archer on Iron Ballista,0x0,0x0
Archer on Killer Ballista,0x0,0x0
Ballista,0x0,0x0
Iron Ballista,0x0,0x0
Killer Ballista,0x0,0x0
Civilian,0x0,0x0
Civilian (F),0x0,0x0
Civilian,0x0,0x0
Civilian (F),0x0,0x0
Civilian,0x0,0x0
Civilian (F),0x0,0x0
Peer,0x0,0x0
Queen,0x0,0x0
Prince,0x0,0x0
Queen,0x0,0x0
Light Rune,0x0,0x0
Fallen Prince,0x0,0x0
Tent,0x0,0x0
Pontifex,0x0,0x0
Dead Peer,0x0,0x0
Cyclops,0x0,0x0
Elder Bael,0x0,0x0
Journeyman (2),0x11,0x38
Pupil (2),0x27,0x39
Ephraim Lord,0x0,0x0
Lance Knight,DukeKnight,Paladin
Axe Knight,GreatKnight,0x0
Free Knight,Ranger,Paladin
Fighter (F),Warrior_F,Hero_F
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Light Mage (F),Sage_F,Valkyrie
Arch Knight,BowKnight,Ranger
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Medic,Harrier,Falcoknight
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ballistician,0x0,0x0
Axe Armor,General,GreatKnight
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
Ephraim Lord,0x0,0x0
,0xff,0xff
